sentiment,comment
nostalgia,"I hope I have the dates right. It was early 1963? It was a very snowy winter and I was in the Upper South. I used to doze off listening to this lovely song on snow days, when it had to really snow for us to get out of school!"
not nostalgia,"I have never heard of this woman, fantastic voice!!!! Was she an actress?"
nostalgia,"nice tune,catchy music, simpler times, bring them back"
nostalgia,Brings back awesome memories...
not nostalgia,"I like this, but the original is better. The original flows better in my opinion"
not nostalgia,"Still a better song,romantic and classy song than almost every song nowadays which describe a rebellious and horny love story"
not nostalgia,and that's why they called her lil  miss dynamite...shes a one and only
nostalgia,I love this song. Really reminds me of my early days in the Philippines. My sister and i danced to this song in a party . Part of the contest for most romantic dancers. I think i was around 14 at that time and my sister was 15 years old.
not nostalgia,Brenda does a great job on this song originally sung by Skeeter Davis and Brenda brings the same emotion to it.
not nostalgia,she was one of the greats .why cant we have more like this today?
nostalgia,"my childhood ,years passed by but the memories stays same"
nostalgia,memories are made of these. Love everyone always. 
not nostalgia,Does anyone know who the film star is at 1:53? It certainly fits in well with a superb song and singer
nostalgia,This song reminds me of Robbie Benson for some reason.  Great 70's tune  from my childhood. 
nostalgia,Wow this song brought back some great days! !! Thanks sears! !!
not nostalgia,Her version of almost every female vocal rock&roll song will be the best.
not nostalgia,Can anybody recognize a woman at 2:40 Very cute unforgettable woman
not nostalgia,"A child prodigy. She had a comfortable command of her voice. From her signature flat to her signature vibrato. She was at ease, and seemed to effortlessly deliver an amazing voice and concert presence. A special vocalist."
not nostalgia,"Lyrics don't seem the same in songs today, this is a shame. yes there are lovely young ones but sadly they will not experience the post war baby boomer time , I really have a doubt an era like this will ever come again.."
not nostalgia,Hey this is easily the best version - the slower moodier and sadder pace coupled with her plaintive voice. And lovely black and white photographs too to enhance the effect and add to the magic sparkle from days long gone by.
not nostalgia,I don't know how you do what you did to create what you did with this great audio and wonderful video but all I can say is thank you.
nostalgia,Simple times. Oh how I miss them
nostalgia,The good old days when you could like a song and not worry about social backlash from your peers.
not nostalgia,You know this song if you learn English from Messages books
nostalgia,Oh remember when I was like 4 years old and my dad used to play this song I remember it because it was the first song I learned even though I didn't know English at that age :)
nostalgia,"Stationed in Germany with the USAF, during the early 70's.  Wow does this flood the mind with memories."
not nostalgia,My grandpa send me this song and wow it is good but it is not great either
not nostalgia,"Somehow never heard this until the Samsung commercial, which is hilarious....good song!"
nostalgia,A TV commercial brought me to this song.  I remember this song when I was a child.  Sweet memories
nostalgia,It reminds me of Sunday rides with an ex. Love it!
not nostalgia,"the more i listen to sound of older music the more i turn out to be happy, but listening to the newcomers just makes me wonder how much more retarded it can get ..."
nostalgia,This is a song from my childhood. Brings back great memories.
nostalgia,"This song reminds me of long hot summers when I was a teenager and although I didn't really like it at the time, nostalgia has mellowed me. It was used in the soundtrack to the film ""Cupcakes"" that I saw the other day and I really wanted to hear it again. Love it!"
nostalgia,"Memories ,another classic."
nostalgia,"I remember the words to this song like it was yesterday, which is well over 40 some years ago....Sears really brought back some memories."
not nostalgia,How can a man put on his jeans as soon as he wakes up? Morning glory
not nostalgia,Funny how Michael Jackson still gets played on the radio though and is regarded as a legend . 
nostalgia,...evokes old memories & makes you yearn for days gone by ! A timeless song !
nostalgia,"As the memories come back while hearing this song, all I can think is the past is gone now as is Miss Karen. However she lives on in her music, and as long as we remember her and our long gone loved ones we have lost through the years, then they are never totally gone. I have a distant hope that there will be a new day for us all......some day."
nostalgia,"I can still remember the day I first heard this music nearly twenty years ago that is my first time listening English songs. Two songs, one is say you say me another is this, deeply in my memory, at that time I was a teenager in a small chinese town! Never forget"
nostalgia,"I have great memories of my childhood in the 70's  playing in the backyard and my mom sitting outside on the patio in the sun, an AM radio softly playing this kind of music. I miss being young, my mom and 1970's AM radio stations. My own Wonder Years."
not nostalgia,"Look we all know about the crap that he did, but back in the day he made some great tunes he co wrote, also he knew how to sell himself on stage and get the crowd behind him, which is a plus. The rest sadly is history."
nostalgia,what a band great  sound and good times back then wish there was someone round like this now
nostalgia,"i cant knock him for being great at the time, as a kid we loved him at the time awesome times , go 70s : )"
not nostalgia,The song is great. Glitter - not so great. People all over the world are probably throwing their Gary Glitter CDs into the dustbin these days.
not nostalgia,i don't want to be leader of your gang thank you very much lol !
not nostalgia,Everybody's got an excuse when they're a nonce. The rest of us are just honest about liking the music.
nostalgia,when i was a young every morning i woke up i heard this song while my father sung this to my mother. those memories
nostalgia,Brings back my precious teen years listening to albums with friends 
not nostalgia,I don' t care what he has done. I will always love the music. The song remains the same.
nostalgia,This song makes me remember about the great times when I was still a little kid
nostalgia,oldies brings past times and tears
not nostalgia,People who can not enjoy the music without discussing the crime committed are SICK.
nostalgia,"Wonderful memories ,great music that still holds up ,loved this group"
nostalgia,i was 3 and my Aunts play the record and song in the house on the stereo. we would all dance in the livingroom . i really miss that .
nostalgia,Wow I was 16 when this came out! Incredible but good memories.
not nostalgia,Thank god for my parents wow i wish my gen of music was this funky and used more instruments
not nostalgia,"Nice song of the seventies.  This is the sort of music I like as it is meaningful, has a cool rhythm and is nicely performed. I frankly do not like what is being made nowadays with a few exceptions.  I don't find any significance in it. But this one as all tunes of those times signified something and something good."
nostalgia,This just makes me smile... My heart dances... 1976... So many records did that to me. So hard to find stand out tracks of that year... But this one certainly is one of the most memorable for me.. Love it!!
not nostalgia,Man!  How many talent shows in the black community did group perform this song? ..The brothers could sing just like Tavares.. Swoon! I  love my black people stay moving and living your best life..
not nostalgia,Heard this music from Titans this classic song is amazingly beautiful and gorgeous thank you Titans
nostalgia,This song takes me way back. Reminds of a special lady.
not nostalgia,"Every time I hear this, I think of a certain scene from Supernatural"
not nostalgia,"All I can see now, listening to this song, is Star fire from Titans waking up in the car."
nostalgia,definitely brings back great 70's memories
not nostalgia,I am from india and i love this kind of songs. Heard this in Titans series.
nostalgia,I fell in love with this song the summer of 1977.  The year of my 9th grade graduation from John Wannamaker Jr. High school and the summer of my first real love.  Loved it then and love it now!!
nostalgia,"Music memories, playing this on my twin cassette deck out fishing or camping as a 19 year old in remote north Western Australia.  Life passes by so quickly,  gets lonely as you get older sometimes and music brings on nostalgia,  love it though, glimpses of my past through music"
nostalgia,What a fantastic intro this song has. Takes me right back to the summer of 76 with not a mobile phone to be seen. When people loved to dance and drink and hold a conversation. Really miss those days
nostalgia,"Had just graduated from college and got a dream job with IBM, what great memories! :D"
nostalgia,"Marvellous memories, music is miracles!"
not nostalgia,Taking out the fade in then i can like it.
nostalgia,"Love this song. Reminds me of my childhood sweet heart. Chester, Pa."
not nostalgia,Good and Real Music Right here! Thanks to my Mom playing real music around me and sharing real music to me.
nostalgia,"I used to have a 70s CD box as a kid, I listened and danced to it in my room every damn day. Songs like this bring me back to this, not a worry in the world. Good times"
nostalgia,Miss those days. And I get homesick when hearing oldies.
not nostalgia,This has got to be the best structured song I've ever heard
not nostalgia,I'm curious to know how many of the original members of Tavares are still living now?
nostalgia,One of those nice songs of yester year I had not listened to in a long time perhaps as much as 40 years. It brings to me so many merry memories of those times.  I like the idea of comparing a loved girl with an Angel. Very good really.
nostalgia,"When I was 14 years old, I remember to save every penny I got for to get the 45 rpm record disc of this beautiful song. When a did, I don?-t remember how many times I played in the old disc player at home"
not nostalgia,Yeah supernatural bought me here. You happy?!
nostalgia,many good years back.
nostalgia,So many beautiful memories listening to this song.
not nostalgia,Angel our all around us the reason wings we know foundation for creation our principle moral values
nostalgia,Man I remember this riding with my Dad on my way to school in the first grade good memories now I'm driving my son to school playing old school music
not nostalgia,This is the best to dance to for the Disco era.  I love dancing to it.
nostalgia,This brings back a good memory for me. I am 28 years old but I remember being 5 or 6 listening to this in the car with my grandma. It was sunny day in Summer we were by the beach just she and I. ...I felt good that day. Thats the day I heard and fell in love with this song.
nostalgia,I love this. It's one of the best disco records ever.! but it reminds me when I was nearly thrown off of a spinning Waltzer at Minehead funfair. My summer holiday 1976  aged 12.  No safety belts in the 70's.!!
not nostalgia,This song is so beautiful even though it's only disco. I would have to say it's the most romantic and elaborate disco (after A Fifth of Beethoven and the instrumental-only version of Beegees Saturday Night Fever) Heaven Must Be Missing An Angel fires up my imagination. I see a Princess cruise ship (like the one on Love Boat) out at sea and a lot of happy romantic couples dancing and kissing walking around arm in arm or shoulder on shoulder. So gorgeous.
nostalgia,Brings back so many memories Great song group and Artists
not nostalgia,"I, STIL CANNOT GET OVER HOW HANDSOME THEY ALL WERE...AND THEY STILL LOOK GOOD. AND SOUND GREAT."
nostalgia,Whenever I just want to be taken back to 1976 and 18 years  old.....I just listen to this
nostalgia,"This takes me back to my ""Soul Train"" days. Watching it, not actually dancing there! But it was still fun."
nostalgia,"When I was little this was the BEST song I have ever heard in my entire life. I heard this song at an air show back in 70's. There was a Fighter Pilot flying a brand new jet back then called an F-15 strike eagle, who introduced it to the crowd with this song. We had very large speakers behind the crowd that played this song as he went through his entire flight routine. This was the only time in my entire life that I ever saw one man in one plane actually out perform the Blue Angels "
not nostalgia,Priceless ..Classic..Golden Age of Real Music for the Listening Pleasure.! 
nostalgia,its so good so good brings me back i was like 10 years old then 47 now wow....
nostalgia,great memories dancing to this at the BBC Disco in Chicago.....
not nostalgia,EXCELLENT percussion and horns-----I have heard a college drum line and band perform this-----what a show!!
nostalgia,"I really thank the new generation song appear, because it make me want to hear old songs. Nostalgia"
nostalgia,"Listening Dec. 7, 2019...reminiscing the good old days...greetings from the northern part of the Philippines..Mabuhay!"
nostalgia,I am in my 20?? but for some reason I have extreme nostalgia listening to this. A longing for a time period way before my time. RIP Karen
nostalgia,"Across times, bring me back to yeas back."
nostalgia,This song will forever remind me of my friend joy. I swear on my life she was as close to karen carpenter's voice if not identical to Karen and this was my favorite song that i liked to hear joy sing when we were doing karaoke and i swear she made me cry each time she did i haven't talked or heard from joy in years the last time i talked to her she said she had cancer and after that we lost touch i hope she beat that cancer and is still singing Karen's songs as beautifully as she .
not nostalgia,"I'm 18. Why am i here lol. But honestly, I can listen to this song for days. This kind of masterpiece will never die."
nostalgia,Looking  back on how it was in years gone by. And the good times that i had. Makes today seems rather sad. So much has changed.
nostalgia,"my childhood memory, best ever."
nostalgia,"Awesome material to listen to.  Very sweet tune.  Very,  very nostalgic.  R.I.P."
nostalgia,I am Chinese. Remember the time when I was a boy listen to this song in McDonald with my grandma. I missed my grandma and I want freedom for my country and all the people in the world.
nostalgia,This song makes me want to be kid again :'(
nostalgia,"Takes me back to my childhood, lovely memories."
nostalgia,"Every time i listen to this song, i am always reminded about how carefree life was and how things were on its right places. It makes me cry that those good old days will only remain as memories. But those memories will forever be kept."
nostalgia,"I miss the 70's . we had less 'tech' , but it was a better world and times. simpler and funner."
nostalgia,My memories come back.!! #2019.!
nostalgia,This song reminds me when I was young
nostalgia,"My mom loved the Carpenters and so when I hear their songs, it brings me good memories of riding in the car with my mom singing to these tunes."
nostalgia,This song brings back everything from my childhood and everything about my parents.  Jeez.
nostalgia,brings back memories growing up in the 70s early 70s Good Times
nostalgia,So many many nice wonderful memories. In 1977 I met my husband exactly 07 August. Today 07 August 2019. The Carpenters were on the radio.
nostalgia,"Looking back all the great times when I was just a teenager. Now being 57 , makes me sad to think how time passed me by so fast."
not nostalgia,This is timeless music!! No matter what music that you like this is gold and will remain gold !!!!
nostalgia,I remember my mom playing this collection through  a cassette. No more cassettes no more tape A tape B...... it was only 19 years ago. Times change but the nostalgia keeps growing .
nostalgia,"License to this song, I cry it brings me back to 50 years ago."
nostalgia,Beautiful song. Takes me back to happy days and remembering my daughter who passed 22nd July 2016.
nostalgia,"Dated today 29 June, 2019  I'm listening to this song, and it brings me to the memory lane, the girl who taught me this song. I owed her a lot, and it is impossible to pay back."
nostalgia,So nostalgic for me! My mom used to sing this for me! So beautiful!
nostalgia,"Full of memories...great memories, unforgettable memories. Played it 3 times this 29th june 2019, 1:48am (dubai time)"
nostalgia,The first time I listened to this song when I was in elementary school. I did not quite understand the lyrics but I cried. And as time flies by the feeling is getting stronger.
nostalgia,I am crying when listen to this song cause it reminds me of the old days with my dad
nostalgia,I have listen to this since i was 3 my friend sang it today at school I am 15 and it brought tears to my eyes really reminded me of my childhood
nostalgia,"Tears, from the memories in the past that you can't relive anymore. The people, oh the people are not there anymore or things have changed so fast. It's like you're not the innocent person that you are before, and it makes you sad because you can't do anything to fix it."
nostalgia,"This is so nostalgic that I remember everything I'm doing when I heard this song since I was 7 years old, it gives me goosebumps and got teary eye sometimes. Those good days where the internet isn't that common.Now, I'm gonna leave this comment and maybe (if I'll still remember) find this comment after 50, 60, 70, or so. If I'll still be alive. Ha ha."
nostalgia,"i first heard this song August of 2018, and i have been listening to it nonstop since...i cry every time i hear it...brings back so many wonderful memories from my childhood.  *every sha la la la, every woah o woah o still shines!*"
nostalgia,"Oh, boy.. Her voice, how the drum played, the arrangement, the lyrics .. It's the perfection. So sweet to remember those beautiful days. Those childhood memories."
not nostalgia,I'll leave this comment here .. see you in the future with tears in my eyes.
nostalgia,I am 27 but I missed my grandma around. She died at the age of 97. Flash back to childhood memories.
nostalgia,"I remember hearing this song played on the radio when I was a little girl, and out of no where, recently, I just hear it  playing a lot in my head. It is do beautiful and bring back floods off happy memories of my childhood days."
nostalgia,"Nostalgia here I come june 6,2019. This is my favorite song growing up. :("
nostalgia,"My childhood song. since i was a secondary student i just heard this absolutely great song such a many time, i love it because the melody and her voice make me feel relaxed and blow of some steam after school. Now i still listen this song like a habit.<3 <3 I want to send great apologies because of my grammartical mistakes. It's so bad"
not nostalgia,"Crying, tears in my eyes. Her voice and lyrics are killing me"
not nostalgia,Beautiful in and out sing shine in heaven you always shined on earth love ya 
nostalgia,"I was 18 this year, I still remember the times when I was in kindergarten, and I learned this song on the backseat of my Mum's car. This is the first English song that I learned to sing, although I do not even know what it means."
nostalgia,"This song reminds me of my teenager days in Kenya, East Africa."
nostalgia,My Mother passed away in May  1973 and this song takes me back to the time. Karen Carpenter RIP you have the voice of a angel!
not nostalgia,2019  this songs it's so much better than others songs today. I wish was born in this time
nostalgia,"Glad to have the memories of these GREAT songs, 50's, 60's, 70's and 80's. Although I graduated HS in '73, my friends called me Teen Angel for my love of the oldies. Of course I loved the contemporaries of that day as well. But I knew the words to just about every 50's & 60's song thanks to my big sisters."
not nostalgia,Listen this song when rain is falling too much
nostalgia,I am 16 when i hear this song 1st time. Now I am 68. Time flies so fast. I love my old times compare to now.
nostalgia,"When I am in Kindergarten, Teacher play this song, I love it, it made me remember the past"
not nostalgia,I just heard this song in a dream so I awakened and played it.  It was so vivid it scared me (in a good way). 
not nostalgia,"I can't hold myself , these legends makes me cry "
nostalgia,This song always reminds me of my childhood.
nostalgia,"First time when I heard this song I was 12. Just a junior high school boy, now I am 51, so much has changed , still love this song and many times I heard it can bring me back to my teenage memories,  tears and smiles."
not nostalgia,I just came to know about this song and I played it at least 10 times. It's just so nice.
nostalgia,I remember my grandmother singing this song when I was little and I feel really nostalgic. My grandmother died when I was 6 years old and now that I am 14 and that I heard this song I remembered her singing this song which makes me feel sad.
nostalgia,"I grow with her song....listening to her song bring back all my memories..just as she sing, we cry as we see listen and sing along"
nostalgia,childhood favorite  finally find the song. tons of memories
not nostalgia,The Carpenters is the perfect representation of classic. Their songs never get old. It even gets better in time. It's a privilege to listen to their songs.
not nostalgia,What a beautiful voice...pure natural talent..the type of singing you can wake up too on a spring morning with birds singing...unlike the singers of today...whose singing sounds more like a cat being beaten in a paper bag!
not nostalgia,her voice is something expensive and iconized
not nostalgia,I heard this from my father and found this while browsing.. I am a teenager and born from 20's but old songs are better than the songs in my year.
nostalgia,I had this on my mp3 player since I was 7 and I just remembered how I loved this song so much back then....
nostalgia,"back to my childhood to hear this song beside the radio at that time, very longing to go back to that time "
nostalgia,I am 64. But I remember and feel like September 1973  when it was (and it still is and will be forever) a greatest hit.
nostalgia,When i was a kid my parents always play this kind of musics. So everytime i listen to this kind of music like i was time traveling to my childhood days
nostalgia,"My favorite song and the noise of radio, omg my childhood  comeback clearly to me"
nostalgia,I have been listening since I was 4-5 years old. This song is amazing. It made me feel like I am in my childhood listen to it and sleep every night.
nostalgia,"So classic, used to listen to this song on a cassette when I was a kid, brought back so much memories."
nostalgia,Takes me back to my elementary school days in the early 1970s.
not nostalgia,She controls the notes as to how each note should sound! Beautiful voice of unimaginable quality!
not nostalgia,I wish I was born at that time. That would be a beautiful year with all those amazing music. 
not nostalgia,"Hey youtube, could you please move that SORT COMMENTS BOX out of the way as it blocks my texting. Thank You."
nostalgia,Who can sell me a one-way ticket to return to my childhood? I cried when I realized that the people I loved were getting older every day. I just want them to be healthy and stay with me forever.
nostalgia,2019 this song bring nice memories back to me hahaha
not nostalgia,"English is not my mother tongue, but I can hear and understand every word when Karen sings.  Her voice and pronunciation is so clear, which is very rare in music nowadays."
not nostalgia,"When they get to the part where he is breaking her heart, It can really make me cry...."
not nostalgia,Why the hell this song makes me cry a little bit? I mean this song surely not a really sad song
not nostalgia,"it is the first time I find I could understand English song without looking at the lyric, I am so happy. Really appreciate the time I spend studying abroad."
not nostalgia,May God bless you and your family to those who read this comment. Have a wonderful day. :)
nostalgia,40 years before I LISTEN THIS SONG AND I STILL HAVE MY PAST MEMORY WHICH I REMEMBER WHILE  LISTEN  THIS. MANY OF MY NEARER BELOVED FRIENDS PASSED AWAY LEAVING BEHIND UNFORGETTABLE MEMORIES.
not nostalgia,I am 15 and I just do not know why I am crying at this song like... Damn I feel like I have been reincarnated and my old life was a girl who likes these kinds of songs
not nostalgia,So beautiful !! Those backing vocals. Oh Sometimes I wish i was born in the 60s . Don't know why I enjoy these old songs
nostalgia,Beautiful song reminds me of when I was young
not nostalgia,Honey running over butter  still cant describe the voice
not nostalgia,Every time you hear their song....you get a feeling of calmness...happiness and a smile comes on.
nostalgia,"I love this classic old faction songs! It brings my memory back to my childhood 40 years ago in China! Can you image that? In 1970s, China is still conservative country. These songs were band to be broadcasted. But beautiful songs were strong enough to break the iron firm rules and were heard from here and there in streets.  When my childhood was poor not able to afford a Carmen castes player, I already could sing these songs in 1970s. Love these songs! "
not nostalgia,"Funny, but so many generations an say this about the music of their youth, and it is true to them. Sad to think what today's auto-tuned listeners will have to look back on as the songs of their era, lest they say the listened to their parents', grandparents', and grandparents' music as their introduction to music in its truer form"
nostalgia,"These days I really wish It could be yesterday. Today's world is way to painful an weird. This song still makes me cry. Sadly, we lost Karen 36 years ago today "
not nostalgia,I'm glad I have this stuck in my head because I have to learn it for choir lol.
not nostalgia,still close my eyes like yesterday only with a different heart?
nostalgia,Carpenters was my lullaby..damn..good old baby/childhood times..and yes my mum sang out loud every hit on the tape..lol
nostalgia,One of my top favorite songs of all time...brings back those memories....
nostalgia,This beautiful song brings back all my childhood memories and some of them was not here anymore..........
nostalgia,"I was a music student in 1973 and dating a French Canadian flautist. She was beautiful, the time was beautiful, free from responsibilities and through the radio came `Yesterday once more`. 46 years on and this song along with others , transports me to a time and place never to be experienced again...........where is my flautist now, she lives in this song, thats where she will always be,my beautiful Carole."
not nostalgia,Only the love of my loved ones remains in the world
not nostalgia,So sad but I think she has a good voice I listen to her and make my daughter listen to it she likes so
nostalgia,Romantic song in my mind so long time from 30 years  ago when i am boy in primary school.
not nostalgia,What a brilliant piece of vocal art. Time to develop a museum for artists who have given millions of people pleasure all over the World
not nostalgia,Still nice song. Clear beautiful voice from young Karen. So young to die with unique voice colorful this world
nostalgia,Nostalgia and sentimentality to the deceased
nostalgia,My best memory of her as a kid is this song.
not nostalgia,Life still goes on. This will be a song in my memory
not nostalgia,I heard my crush talking about that song with his friends today so i repeat the song's name all day to go    home and search it out....and thanks him for talking about this song cause this became my favourite song without him knowing.
not nostalgia,"By far my favorite singer of all time. So pure, so effortless!! I use her recordings to practice my own singing before I go on to what I am performing. My biggest music inspiration always had been and always will be Karen Carpenter"
nostalgia,I miss them so much. I still remember this song when i was young .
not nostalgia,These two were clearly geniuses. Not much credit was given to him but after watching their documentary I learned that he was responsible for their creation and success. He was even responsible for her iconic singing style. It is a gift one is born with .
not nostalgia,Hands down the greatest female voice I have ever heard.. 
nostalgia,i remember i was 12 and i hear that song...so beautiful..so romantic...and my vision of my 'romanticism'  just begin... i was 12 and i thank about girls..and i said to myself.
nostalgia,"My Dad introduced me to the carpenters when I was 8 and I remember putting it on repeat for days. Sad you couldn't stay on, Karen. Thank you for the memories you left behind..."
not nostalgia,What a Timeless Music.... Not now a days all nonsense music ...
nostalgia,Reminds me of my childhood. Used to listen to this song in the car.
not nostalgia,Life is short world is cruel but I will never surrender to the darkness
not nostalgia,"It's amazing to think that ""Bad, Bad Leroy Brown"" kept this song out of the Billboard #1 slot!  We were pretty stupid in the 70s. This is possibly the best Pop Rock song ever written."
not nostalgia,"Probably the best female voice out there ever? So many hits! When she sang she really put so much emotion into the songs it is as if she personally is feeling those emotions. Some very, well, depressing, but what people go through at times and can relate with I believe. Richard, it is said, never got the credit he deserved for this music. Musicians know the truth I guess. She passed at 32...imagine another 30 years with their duo combination?"
nostalgia,"I remember my neighbor cathy bringing the singles album over to my house back in 1974 and we had a record player on the living room floor and we all sat around listening to the music. That's when i fell in love with karens voice, every song a masterpiece and her brothers arrangements are second to none.She will always be ""The princess of pop music"""
not nostalgia,i really love to listen this song ........its makes my day too wonderful all the time..love it!
nostalgia,"i loved listening to this music with my younger brother ,who is now passed away when we were children, about some 40 years ago. hearing it reminds me of him."
not nostalgia,No music artist today can break this kind of music... This will live forever!
nostalgia,I was in the sixth grade the first time i heard this song i will never  forget that time in my life
not nostalgia,Such a tragedy this beautiful singer lost her life to an eating disorder! With that so prevalent in today??its society there should be a foundation in her name to bring the attention this disease needs. There is no question these two would have been Superstars even today if she had not passed way too soon.
not nostalgia,Her singing on this track is world famous of course...but oh my god her drum work! Splendid!
not nostalgia,where did i first listen this song? I can't recall. May be in a game or movie. Any reference would be appreciated.
not nostalgia,Anyone got more songs that similar with this ? Please share with me ..
not nostalgia,"I don't even dare listening to the music, just by watching the video I'm already into tears"
nostalgia,Reminds me of my youth....memories die hard
nostalgia,this song bring back my happiest and beautiful childhood memory
nostalgia,Grew up with this song and every time it touches my heart. All those nice memories all come back
nostalgia,Brings me back yesterday once more
not nostalgia,"She sounds like an old friend. I mean, a really really good friend."
nostalgia,A song with meaning and decency. Wish it could be yesterday once more.
nostalgia,When I can not sleep I just come to listen this and also I always always miss my old childhood so bad 
nostalgia,This song made me cry reminds me of my childhood miss those happy times 
not nostalgia,At the Drive - in movies they would play all their music before the movie. This sounds better than a  speaker we would hang on the car door window.
not nostalgia,My little sister  started crying and I play this song she fell asleep
not nostalgia,"If not the most beautiful she must be one of the most beautiful voices ever, how ironic when I hear her sing she brings me to tears such a lovely voice "
nostalgia,I want to go back to my childhood only once
nostalgia,"It was way back in 1973, I was sailing on a cargo ship along Australian coast, suddenly I heard this song on my communication receiver from some unknown Melbourne Radio Station, I was mesmerized with it's wonderful style of singing and what a beautiful composition!  First thing I did after reaching my destination, headed for a music store and purchased  it's 45 rpm record."
not nostalgia,My mom likes this song very much and she always sings it. Anyway who still listens in 2019?
not nostalgia,Such an amazing song and a world beating voice.  A clean song without garbage like others who have to resort to crap to draw attention to themselves.  God Bless Karen!  She will always live on....
nostalgia,Sadly missed  had so much give  still sounds fresh today as back in the 70s
nostalgia,Reminds me of Sunday afternoon vibes. My mom always play this on cassette.
not nostalgia,Voice for the ages! Smooth Emotion with Feeling and more that no one can describe. Perfection!
not nostalgia,"if she could have seen just how beautiful she was,"
nostalgia,"its been almost 10 years since the first time i listened to this piece when i was just a kid. everytime, i remember."
nostalgia,"That was certainly the time I was in elementary school 5th grade. I was not sure of English, but it was just ""When I was young I'd listen to the radio Waiting 'for my favorite songs ..."" I cried"
nostalgia,"They're all gone,like those years that melted away....But,when I listen to those songs,It's just like yesterday....Yesterday once more....once more.....!!"
nostalgia,"I remember when I first heard this wonderful song. I was riding in the back seat of my father's 1956 DeSoto. I remember the song coming on and how it grabbed my attention. I can honestly say this is the first song I truly liked in my childhood. I had to be about 4 or 5. Now, nearly half a century later, everytime I hear it, I am back in the old DeSoto with a big smile on my face. Thank you Karen. You left us too soon. There has never been a voice as beautiful and rich as yours."
nostalgia,"Every time I hear this song, it reminds me of the 80s when we had it good. The happiest time. So sad."
not nostalgia,Her voice touches me in a way few others can.  She had a beautiful voice.  Typing this with tears in my eyes.
nostalgia,"This is one of my most favorite songs for years.  It reminds me of my happy childhood, bringing back lots of beautiful memories.  Thanks Karen for singing such a wonderful song!  I miss you as much as the good old days!"
not nostalgia,"This evergreen song, detailed everything about how the world is moving so quick..RIP to good musics.."
not nostalgia,"My mother bought a lot of their early singles and then my dad bought the Single 1969-1973 album and always loved that album but really loved this song. She had such a beautiful voice, I don't think anyone can touch her as far as vocals  go."
not nostalgia,"I am listening to this song an my eyes are running,( now who put these darn onions here?)"
nostalgia,the familiar lyrics and rhythm take me back to the old time
nostalgia,"All my best memories, come back clearly to me?? With this song"
nostalgia,"This song actually, reminds me of my family and friends."
not nostalgia,Thank you for your service. Hope you have many more GOOD memories for future look-backs.
not nostalgia,"I wasn't part of the generation that grew up with this song, but I'll have to admit that I like this song more than I like the songs these days. "
nostalgia,"This beautiful song brings back memories of my first vacation.  We spent two weeks in Ft. Walton Beach,  FL, in 1973. It was being played almost all the time. Every time I hear it I go back to Yesterday Once More. Great song. Great voice."
nostalgia,Yesterday's HAPPY TIMES &  BEST MEMORIES really make me cry. They will never come back. Where are you now...long lost friend? Miss you? Show up even just once after those yesterday's best memories.
not nostalgia,Love that song very beautiful however I love all she did. Wish they would have put out her soul music
not nostalgia,And this is why I love hanging out with my parents and grandparents because of this kind of songs.. 
nostalgia,Top of the best...brings back very very fond old memories of those good golden days.
nostalgia,used to go to my cousins on the weekends 7 or 8 years old used to drive her nuts can we spin that record again we didnt get records as kids so i had to get my fill when i was at my cousins great memories :) great voice and what a real trip down memory lane as music seems so good at doing bringing up emotions good and not so good... these are good memories of innocence and also so sad as that innocence was soon to be gone.. life hey !! RIP Karen !
nostalgia,"""... Makes today seem rather sad. So much had changed."" Those words strike me in the heart. There's a Vietnamese song, which a line of the lyrics is ""If you are to have a wish in this life, remember to wish that time is reversed."" I really want to have that wish."
nostalgia,"This song means a lot to me. I remember singing it in school, and at that time I believed I was beautiful. Singing this again has brought back so many memories - good ones! Please feel free to check out my slow singing cover on my page. Thanks, and have a nice day!"
not nostalgia,Her voice  alone is better than hip-hop and rap put together. What happened  to our music  today?
nostalgia,Remind me of childhood childhood memories forever young make me cry
nostalgia,My mom used to sing this to me it really brings back memories
nostalgia,My first date was singing this song in 1973. Memories lingers.
not nostalgia,I made a cover of this song hope you can give me any feedback on it. Thank you so much!
not nostalgia,"Her brother lived off her voice and did not see the problem, I hope he is bankrupt"
nostalgia,Grew up with these songs.  Love them.  A shame she's gone.  Beautiful voice.  I love all types of music.  This is just one of those that bring back so many memories for me.
not nostalgia,"Am I the only one who noticed? The piano ""riff"" in the background just after she sings the 1st half of the chorus (....still shines) is the melody to that 70's song that says, ""comma, comma, comma, comma...."". What's the name of that song?????"
nostalgia,This song reminds me of when I was a kid growing up in the 70s.
not nostalgia,"to all the people who disliked this, you don't have a taste for music..."
nostalgia,Such great time and great friend in my life time you never know and I still listen all of them till to day 2018 all most I'm was born in 1960.? I'm use to have my life in Europe 40th years up till now. I really missed my BKK very much.And I will love old songs all of them.
not nostalgia,This song is truly a classic that will forever be people's heart.
nostalgia,"Every single time I listen to this song it reminds me of my mom. I can close my eyes and hear her singing this. Love you mom,  I've missed you more than words could ever express these last 20 long years Till we meet again."
nostalgia,This song always bring me back to my childhood
nostalgia,Mum use to play it when I was a kid. Takes me back to my childhood
not nostalgia,"She has a resonance in her voice that is unique to her and once you hear her voice, you know its totally unique - never to be imitated."
nostalgia,"My 6th grade teacher in Glasgow, Montana, year 1976, played all their songs during class! This brings back so many memories! Thanks Miss Hansen!"
